name,author,format,book_depository_stars,price,isbn,category,img_paths
The Art of War,Sun Tzu,Paperback,4.0,5.04,9781599869773,Business-Finance-Law,dataset/Business-Finance-Law/0000039.jpg
"It's Not How Good You Are, It's How Good You Want to Be",Paul Arden,Paperback,3.5,7.09,9780714843377,Business-Finance-Law,dataset/Business-Finance-Law/0000040.jpg
Everything is Figureoutable,Marie Forleo,Paperback,4.5,14.72,9780241341032,Business-Finance-Law,dataset/Business-Finance-Law/0000041.jpg
Business Model Generation,Alexander Osterwalder,Paperback,4.0,21.67,9780470876411,Business-Finance-Law,dataset/Business-Finance-Law/0000042.jpg
Getting to Yes,Roger Fisher,Paperback,4.0,9.78,9781847940933,Business-Finance-Law,dataset/Business-Finance-Law/0000043.jpg
Essentialism,Greg McKeown,Paperback,4.0,12.81,9780753555163,Business-Finance-Law,dataset/Business-Finance-Law/0000044.jpg
The E-Myth Revisited,Michael E. Gerber,Paperback,4.0,12.78,9780887307287,Business-Finance-Law,dataset/Business-Finance-Law/0000045.jpg
The Compound Effect,Darren Hardy,Paperback,4.5,12.23,9781593157241,Business-Finance-Law,dataset/Business-Finance-Law/0000046.jpg
Factfulness,Hans Rosling,Paperback,4.5,8.8,9781473637474,Business-Finance-Law,dataset/Business-Finance-Law/0000047.jpg
Steve Jobs: The Exclusive Biography,Walter Isaacson,Hardback,4.0,21.92,9781408703748,Business-Finance-Law,dataset/Business-Finance-Law/0000048.jpg
How to Win Friends and Influence People,Dale Carnegie,Paperback,4.0,7.06,9780091906351,Business-Finance-Law,dataset/Business-Finance-Law/0000049.jpg
#Girlboss,Sophia Amoruso,Paperback,3.5,7.44,9780241217931,Business-Finance-Law,dataset/Business-Finance-Law/0000050.jpg
"Predictably Irrational, Revised",Dr Dan Ariely,Paperback,4.0,8.58,9780062018205,Business-Finance-Law,dataset/Business-Finance-Law/0000051.jpg
The Checklist Manifesto,Atul Gawande,Paperback,4.0,9.04,9781846683145,Business-Finance-Law,dataset/Business-Finance-Law/0000052.jpg
The 7 Habits of Highly Effective People,Dr Stephen R Covey,Paperback,4.0,14.37,9781451639612,Business-Finance-Law,dataset/Business-Finance-Law/0000053.jpg
Capital in the Twenty-First Century,Thomas  Piketty,Hardback,4.0,36.52,9780674430006,Business-Finance-Law,dataset/Business-Finance-Law/0000054.jpg
One Up On Wall Street,Peter Lynch,Paperback,4.0,10.95,9780743200400,Business-Finance-Law,dataset/Business-Finance-Law/0000055.jpg
Extreme Ownership,Jocko Willink,Hardback,4.5,16.1,9781250183866,Business-Finance-Law,dataset/Business-Finance-Law/0000056.jpg
Think and Grow Rich,Napoleon Hill,Paperback,4.0,9.23,9781585424337,Business-Finance-Law,dataset/Business-Finance-Law/0000057.jpg
How to Change Your Mind,Michael Pollan,Paperback,4.5,10.28,9780141985138,Business-Finance-Law,dataset/Business-Finance-Law/0000058.jpg
The Black Swan,Nassim Nicholas Taleb,Paperback,4.0,10.72,9780141034591,Business-Finance-Law,dataset/Business-Finance-Law/0000059.jpg
The Power of Habit,Charles Duhigg,Paperback,4.0,13.78,9780812981605,Business-Finance-Law,dataset/Business-Finance-Law/0000060.jpg
The Five Dysfunctions of a Team,Patrick M. Lencioni,Hardback,4.0,15.98,9780787960759,Business-Finance-Law,dataset/Business-Finance-Law/0000061.jpg
"The First 90 Days, Updated and Expanded",Michael D. Watkins,Hardback,4.0,15.91,9781422188613,Business-Finance-Law,dataset/Business-Finance-Law/0000062.jpg
Mastery,Robert Greene,Paperback,4.5,14.4,9781781250914,Business-Finance-Law,dataset/Business-Finance-Law/0000063.jpg
Good To Great,Jim Collins,Hardback,4.0,22.21,9780712676090,Business-Finance-Law,dataset/Business-Finance-Law/0000064.jpg
The Hard Thing About Hard Things,Ben Horowitz,Hardback,4.0,15.88,9780062273208,Business-Finance-Law,dataset/Business-Finance-Law/0000065.jpg
Relentless,Tim S. Grover,Paperback,4.0,9.4,9781476714202,Business-Finance-Law,dataset/Business-Finance-Law/0000066.jpg
Hooked,Nir Eyal,Hardback,4.0,13.76,9780241184837,Business-Finance-Law,dataset/Business-Finance-Law/0000067.jpg
Ego is the Enemy,Ryan Holiday,Paperback,4.0,9.04,9781781257029,Business-Finance-Law,dataset/Business-Finance-Law/0000068.jpg
Think and Grow Rich,Napoleon Hill,Hardback,4.0,10.87,9781906465599,Business-Finance-Law,dataset/Business-Finance-Law/0000069.jpg
7 Habits Of Highly Effective People,Stephen R. Covey,Paperback,4.0,14.07,9781471129391,Business-Finance-Law,dataset/Business-Finance-Law/0000070.jpg
ReWork,David Heinemeier Hansson,Paperback,4.0,12.91,9780091929787,Business-Finance-Law,dataset/Business-Finance-Law/0000071.jpg
Show Your Work!,Austin Kleon,Paperback,4.0,8.94,9780761178972,Business-Finance-Law,dataset/Business-Finance-Law/0000072.jpg
Radical Candor,Kim Scott,Paperback,4.0,7.79,9781509845385,Business-Finance-Law,dataset/Business-Finance-Law/0000073.jpg
The Laws of Human Nature,Robert Greene,Paperback,4.5,18.43,9781781259191,Business-Finance-Law,dataset/Business-Finance-Law/0000074.jpg
The Design of Everyday Things,Donald A. Norman,Paperback,4.0,14.22,9780465050659,Business-Finance-Law,dataset/Business-Finance-Law/0000075.jpg
Utopia for Realists,Rutger Bregman,Paperback,4.0,8.77,9781408893210,Business-Finance-Law,dataset/Business-Finance-Law/0000076.jpg
The Little Book of Common Sense Investing,John C. Bogle,Hardback,4.0,13.91,9781119404507,Business-Finance-Law,dataset/Business-Finance-Law/0000077.jpg
The Personal MBA,Josh Kaufman,Paperback,4.0,12.52,9780670919536,Business-Finance-Law,dataset/Business-Finance-Law/0000078.jpg
Antifragile,Nassim Nicholas Taleb,Paperback,4.0,11.6,9780141038223,Business-Finance-Law,dataset/Business-Finance-Law/0000079.jpg
Together is Better,Simon Sinek,Hardback,4.0,13.24,9780241187296,Business-Finance-Law,dataset/Business-Finance-Law/0000080.jpg
Fooled by Randomness,Nassim Nicholas Taleb,Paperback,4.0,9.96,9780141031484,Business-Finance-Law,dataset/Business-Finance-Law/0000081.jpg
Nudge,Richard H. Thaler,Paperback,4.0,11.7,9780143115267,Business-Finance-Law,dataset/Business-Finance-Law/0000082.jpg
The Ladybird Book of the Meeting,Jason Hazeley,Hardback,4.0,7.83,9780718184377,Business-Finance-Law,dataset/Business-Finance-Law/0000083.jpg
Purple Cow,Seth Godin,Paperback,3.5,9.04,9780141016405,Business-Finance-Law,dataset/Business-Finance-Law/0000084.jpg
The Happiness Advantage,Shawn Achor,Paperback,4.0,9.83,9780753539477,Business-Finance-Law,dataset/Business-Finance-Law/0000085.jpg
Good to Great,James Collins,Hardback,4.0,20.35,9780066620992,Business-Finance-Law,dataset/Business-Finance-Law/0000086.jpg
Liar's Poker,Michael Lewis,Paperback,4.0,7.83,9780340839966,Business-Finance-Law,dataset/Business-Finance-Law/0000087.jpg
Coaching Habit,Michael Bungay Stanier,Paperback,4.0,9.32,9780978440749,Business-Finance-Law,dataset/Business-Finance-Law/0000088.jpg
Emotional Intelligence 2.0,Travis Bradberry,Hardback,4.0,18.68,9780974320625,Business-Finance-Law,dataset/Business-Finance-Law/0000089.jpg
The $100 Startup,Chris Guillebeau,Paperback,4.0,8.24,9781447286318,Business-Finance-Law,dataset/Business-Finance-Law/0000090.jpg
Tribe of Mentors,Timothy Ferriss,Paperback,4.0,18.77,9781785041853,Business-Finance-Law,dataset/Business-Finance-Law/0000091.jpg
Intelligent Investor,Benjamin Graham,Hardback,4.0,17.69,9780060752613,Business-Finance-Law,dataset/Business-Finance-Law/0000092.jpg
Eichmann in Jerusalem,Hannah Arendt,Paperback,4.0,11.95,9780143039884,Business-Finance-Law,dataset/Business-Finance-Law/0000093.jpg
Secrets of the Millionaire Mind,T Harv Eker,Paperback,4.0,6.89,9780061336454,Business-Finance-Law,dataset/Business-Finance-Law/0000094.jpg
The Glass Castle,Jeannette Walls,Paperback,4.5,7.68,9781844081820,Business-Finance-Law,dataset/Business-Finance-Law/0000095.jpg
The Market Gardener,Jean-Martin Fortier,Paperback,4.5,18.18,9780865717657,Business-Finance-Law,dataset/Business-Finance-Law/0000096.jpg
Think and Grow Rich,Napoleon Hill,Paperback,4.0,6.76,9780449214923,Business-Finance-Law,dataset/Business-Finance-Law/0000097.jpg
This is Marketing,Seth Godin,Paperback,4.0,14.65,9780241370148,Business-Finance-Law,dataset/Business-Finance-Law/0000098.jpg
The Pyramid Principle,Barbara Minto,Hardback,4.0,30.32,9780273710516,Business-Finance-Law,dataset/Business-Finance-Law/0000099.jpg
The Essays of Warren Buffett,Lawrence A. Cunningham,Paperback,4.5,14.79,9781118821152,Business-Finance-Law,dataset/Business-Finance-Law/0000100.jpg
The Black Swan: Second Edition,Nassim Nicholas Taleb,Paperback,4.0,15.01,9780812973815,Business-Finance-Law,dataset/Business-Finance-Law/0000101.jpg
Value Proposition Design,Alexander Osterwalder,Paperback,4.5,23.37,9781118968055,Business-Finance-Law,dataset/Business-Finance-Law/0000102.jpg
The Millionaire Next Door,Thomas J. Stanley,Paperback,4.0,11.12,9781589795471,Business-Finance-Law,dataset/Business-Finance-Law/0000103.jpg
Sprint,Jake Knapp,Paperback,4.0,18.42,9780593076118,Business-Finance-Law,dataset/Business-Finance-Law/0000104.jpg
Half The Sky,Nicholas D. Kristof,Paperback,4.5,11.78,9781844086825,Business-Finance-Law,dataset/Business-Finance-Law/0000105.jpg
The Talent Code,Daniel Coyle,Paperback,4.0,9.05,9780099519850,Business-Finance-Law,dataset/Business-Finance-Law/0000106.jpg
Common Stocks and Uncommon Profits and Other Writings,Philip A. Fisher,Paperback,4.0,15.81,9780471445500,Business-Finance-Law,dataset/Business-Finance-Law/0000107.jpg
The Culture Map,Erin Meyer,Paperback,4.5,10.09,9781610392761,Business-Finance-Law,dataset/Business-Finance-Law/0000108.jpg
Tribes,Seth Godin,Paperback,4.0,9.28,9780749939755,Business-Finance-Law,dataset/Business-Finance-Law/0000109.jpg
The Little Book of Lykke,Meik Wiking,Hardback,4.0,11.58,9780241302019,Business-Finance-Law,dataset/Business-Finance-Law/0000110.jpg
The 10X Rule,Grant Cardone,Hardback,4.0,14.6,9780470627600,Business-Finance-Law,dataset/Business-Finance-Law/0000111.jpg
Never Split the Difference,Chris Voss,Paperback,4.5,8.2,9780062872302,Business-Finance-Law,dataset/Business-Finance-Law/0000112.jpg
Made to Stick,Chip Heath,Paperback,4.0,10.93,9780812982008,Business-Finance-Law,dataset/Business-Finance-Law/0000113.jpg
Getting Things Done,David Allen,Paperback,4.0,13.03,9780349408941,Business-Finance-Law,dataset/Business-Finance-Law/0000114.jpg
The 5 Second Rule,Mel Robbins,Hardback,4.0,20.06,9781682612385,Business-Finance-Law,dataset/Business-Finance-Law/0000115.jpg
"Blue Ocean Strategy, Expanded Edition",W.Chan Kim,Hardback,4.5,21.02,9781625274496,Business-Finance-Law,dataset/Business-Finance-Law/0000116.jpg
Building A Story Brand,Donald Miller,Paperback,4.5,11.14,9781400201839,Business-Finance-Law,dataset/Business-Finance-Law/0000117.jpg
The Rule of Law,Tom Bingham,Paperback,4.0,8.81,9780141034539,Business-Finance-Law,dataset/Business-Finance-Law/0000118.jpg
Business Adventures,John Brooks,Paperback,4.0,10.68,9781473611528,Business-Finance-Law,dataset/Business-Finance-Law/0000119.jpg
The Art of War,Sun Tzu,Hardback,4.0,9.84,9780857080097,Business-Finance-Law,dataset/Business-Finance-Law/0000120.jpg
Switch,Chip Heath,Paperback,4.0,10.1,9781847940322,Business-Finance-Law,dataset/Business-Finance-Law/0000121.jpg
Why Nations Fail,Daron Acemoglu,Paperback,4.0,13.03,9781846684302,Business-Finance-Law,dataset/Business-Finance-Law/0000122.jpg
Give and Take,Adam Grant,Paperback,4.0,7.99,9781780224725,Business-Finance-Law,dataset/Business-Finance-Law/0000123.jpg
The Big Short,Michael Lewis,Paperback,4.5,10.6,9780393338829,Business-Finance-Law,dataset/Business-Finance-Law/0000124.jpg
Managing Oneself,Peter F. Drucker,Paperback,4.0,7.61,9781422123126,Business-Finance-Law,dataset/Business-Finance-Law/0000125.jpg
The Go-Giver,Bob Burg,Paperback,4.5,9.1,9780241976272,Business-Finance-Law,dataset/Business-Finance-Law/0000126.jpg
The Shock Doctrine,Naomi Klein,Paperback,4.0,13.15,9780141024530,Business-Finance-Law,dataset/Business-Finance-Law/0000127.jpg
Measure What Matters,John Doerr,Paperback,4.0,14.94,9780241348482,Business-Finance-Law,dataset/Business-Finance-Law/0000128.jpg
Invisible Women,Caroline Criado Perez,Hardback,4.5,18.75,9781784741723,Business-Finance-Law,dataset/Business-Finance-Law/0000129.jpg
The New One Minute Manager,Kenneth Blanchard,Paperback,4.0,8.11,9780008128043,Business-Finance-Law,dataset/Business-Finance-Law/0000130.jpg
Wealth of Nations,Adam Smith,Paperback,4.0,7.98,9781840226881,Business-Finance-Law,dataset/Business-Finance-Law/0000131.jpg
"Security Analysis: Sixth Edition, Foreword by Warren Buffett",Benjamin Graham,Hardback,4.5,40.31,9780071592536,Business-Finance-Law,dataset/Business-Finance-Law/0000132.jpg
The Wolf of Wall Street,Jordan Belfort,Paperback,3.5,9.86,9780340953754,Business-Finance-Law,dataset/Business-Finance-Law/0000133.jpg
The 4-hour Workweek,Timothy Ferriss,Hardback,4.0,21.38,9780307465351,Business-Finance-Law,dataset/Business-Finance-Law/0000134.jpg
21 Irrefutable Laws of Leadership,John C. Maxwell,Paperback,4.0,11.73,9780785289357,Business-Finance-Law,dataset/Business-Finance-Law/0000135.jpg
Let My People Go Surfing,Yvon Chouinard,Paperback,4.0,13.31,9780143109679,Business-Finance-Law,dataset/Business-Finance-Law/0000136.jpg
"Creativity, Inc.",Ed Catmull,Paperback,4.0,17.33,9780593070109,Business-Finance-Law,dataset/Business-Finance-Law/0000137.jpg
The Effective Executive,Peter F Drucker,Paperback,4.0,13.48,9780060833459,Business-Finance-Law,dataset/Business-Finance-Law/0000138.jpg
Daring Greatly,PhD Lmsw Brene Brown,Paperback,4.5,13.24,9781592408412,Business-Finance-Law,dataset/Business-Finance-Law/0000139.jpg
Delivering Happiness,Tony Hsieh,Paperback,4.0,7.31,9781455508907,Business-Finance-Law,dataset/Business-Finance-Law/0000140.jpg
"Jab, Jab, Jab, Right Hook",Gary Vaynerchuk,Hardback,4.0,15.72,9780062273062,Business-Finance-Law,dataset/Business-Finance-Law/0000141.jpg
Turn The Ship Around!,L. David Marquet,Paperback,4.0,10.24,9780241250945,Business-Finance-Law,dataset/Business-Finance-Law/0000142.jpg
The Tipping Point,Malcolm Gladwell,Paperback,4.0,8.03,9780349113463,Business-Finance-Law,dataset/Business-Finance-Law/0000143.jpg
Manufacturing Consent,Noam Chomsky,Paperback,4.0,11.35,9780099533115,Business-Finance-Law,dataset/Business-Finance-Law/0000144.jpg
The Decision Book,Mikael Krogerus,Hardback,3.5,9.66,9781846683954,Business-Finance-Law,dataset/Business-Finance-Law/0000145.jpg
Black Box Thinking,Matthew Syed,Paperback,4.5,8.38,9781473613805,Business-Finance-Law,dataset/Business-Finance-Law/0000146.jpg
Freakonomics,Steven D. Levitt,Paperback,4.0,9.8,9780141019017,Business-Finance-Law,dataset/Business-Finance-Law/0000147.jpg
Way of the Wolf,Jordan Belfort,Paperback,4.0,11.2,9781473674813,Business-Finance-Law,dataset/Business-Finance-Law/0000148.jpg
Misbehaving,Richard H. Thaler,Paperback,4.0,10.2,9780241951224,Business-Finance-Law,dataset/Business-Finance-Law/0000149.jpg
Doughnut Economics,Kate Raworth,Paperback,4.0,10.58,9781847941398,Business-Finance-Law,dataset/Business-Finance-Law/0000150.jpg
Superfreakonomics,Stephen J. Dubner,Paperback,4.0,9.59,9780141030708,Business-Finance-Law,dataset/Business-Finance-Law/0000151.jpg
Eggshell Skull,Bri Lee,Paperback,4.5,21.8,9781760295776,Business-Finance-Law,dataset/Business-Finance-Law/0000152.jpg
Range,David Epstein,Paperback,4.0,17.0,9781509843503,Business-Finance-Law,dataset/Business-Finance-Law/0000153.jpg
So Good They Can't Ignore You,Cal Newport,Paperback,4.0,12.74,9780349415864,Business-Finance-Law,dataset/Business-Finance-Law/0000154.jpg
Talking to Strangers,Malcolm Gladwell,Paperback,3.5,17.97,9780241351574,Business-Finance-Law,dataset/Business-Finance-Law/0000155.jpg
The Road to Serfdom,F. a. Hayek,Paperback,4.0,13.36,9780226320557,Business-Finance-Law,dataset/Business-Finance-Law/0000156.jpg
Weapons of Math Destruction,Cathy O'neil,Paperback,4.0,9.53,9780141985411,Business-Finance-Law,dataset/Business-Finance-Law/0000157.jpg
Thinking in Systems,Donella Meadows,Paperback,4.5,12.29,9781603580557,Business-Finance-Law,dataset/Business-Finance-Law/0000158.jpg
A guide to the Project Management Body of Knowledge (PMBOK guide),Project Management Institute,Paperback,3.5,55.52,9781935589679,Business-Finance-Law,dataset/Business-Finance-Law/0000159.jpg
Talk Like TED,Carmine Gallo,Paperback,4.0,10.66,9781447261131,Business-Finance-Law,dataset/Business-Finance-Law/0000160.jpg
Storytelling with Data,Cole Nussbaumer Knaflic,Paperback,4.5,23.41,9781119002253,Business-Finance-Law,dataset/Business-Finance-Law/0000161.jpg
Digital Minimalism,Cal Newport,Paperback,4.0,14.58,9780241341131,Business-Finance-Law,dataset/Business-Finance-Law/0000162.jpg
The Total Money Makeover: Classic Edition,Dave Ramsey,Hardback,4.5,15.17,9781595555274,Business-Finance-Law,dataset/Business-Finance-Law/0000163.jpg
High Output Management,Andrew Grove,Paperback,4.5,12.92,9780679762881,Business-Finance-Law,dataset/Business-Finance-Law/0000164.jpg
The Secret Barrister,The Secret Barrister,Paperback,4.0,9.42,9781509841141,Business-Finance-Law,dataset/Business-Finance-Law/0000165.jpg
Mastering The Market Cycle,Howard Marks,Hardback,4.0,20.08,9781473680371,Business-Finance-Law,dataset/Business-Finance-Law/0000166.jpg
Pre-Suasion,Robert B. Cialdini,Paperback,4.0,10.53,9781847941435,Business-Finance-Law,dataset/Business-Finance-Law/0000167.jpg
Fierce Conversations,Susan Scott,Paperback,4.0,11.82,9780425193372,Business-Finance-Law,dataset/Business-Finance-Law/0000168.jpg
The Diary of a Bookseller,Shaun Bythell,Paperback,4.0,8.45,9781781258637,Business-Finance-Law,dataset/Business-Finance-Law/0000169.jpg
The Undoing Project,Michael Lewis,Paperback,4.0,9.93,9780141983042,Business-Finance-Law,dataset/Business-Finance-Law/0000170.jpg
How Brands Grow,Byron Sharp,Hardback,4.0,29.39,9780195573565,Business-Finance-Law,dataset/Business-Finance-Law/0000171.jpg
East West Street,Philippe Sands,Paperback,4.5,9.4,9781474601917,Business-Finance-Law,dataset/Business-Finance-Law/0000172.jpg
"The Seven Habits of Highly Effective People, Miniature Edition",Stephen R. Covey,Hardback,4.0,7.47,9780762408337,Business-Finance-Law,dataset/Business-Finance-Law/0000173.jpg
The Art of Possibility,Benjamin Zander,Paperback,4.0,8.69,9780142001103,Business-Finance-Law,dataset/Business-Finance-Law/0000174.jpg
The Little Book That Still Beats the Market,Joel Greenblatt,Hardback,4.0,13.61,9780470624159,Business-Finance-Law,dataset/Business-Finance-Law/0000175.jpg
The High Performance Planner,Brendon Burchard,Paperback,4.0,17.29,9781401957230,Business-Finance-Law,dataset/Business-Finance-Law/0000176.jpg
Find Your Why,Simon Sinek,Paperback,3.5,15.81,9780143111726,Business-Finance-Law,dataset/Business-Finance-Law/0000177.jpg
Creative Confidence,David Kelley,Paperback,4.0,10.05,9780008139384,Business-Finance-Law,dataset/Business-Finance-Law/0000178.jpg
Half the Sky,Nicholas D Kristof,Paperback,4.5,12.94,9780307387097,Business-Finance-Law,dataset/Business-Finance-Law/0000179.jpg
A Random Walk Down Wall Street,Burton G. Malkiel,Paperback,4.0,15.81,9780393352245,Business-Finance-Law,dataset/Business-Finance-Law/0000180.jpg
Grace,Grace Coddington,Hardback,4.0,25.77,9780812993356,Business-Finance-Law,dataset/Business-Finance-Law/0000181.jpg
Moneyball,Michael Lewis,Paperback,4.5,13.32,9780393324815,Business-Finance-Law,dataset/Business-Finance-Law/0000182.jpg
The Undercover Economist,Tim Harford,Paperback,4.0,8.73,9780349119854,Business-Finance-Law,dataset/Business-Finance-Law/0000183.jpg
Capital: Volume One and Two,Karl Marx,Paperback,4.0,9.08,9781840226997,Business-Finance-Law,dataset/Business-Finance-Law/0000184.jpg
Emotional Agility,Susan David,Paperback,4.0,9.55,9780241976586,Business-Finance-Law,dataset/Business-Finance-Law/0000185.jpg
The Startup Owner's Manual,Steve Blank,Hardback,4.0,26.24,9780984999309,Business-Finance-Law,dataset/Business-Finance-Law/0000186.jpg
The Chimp Paradox,Steve Peters,Paperback,4.0,14.48,9780399163593,Business-Finance-Law,dataset/Business-Finance-Law/0000187.jpg
The Challenger Sale,Matthew Dixon,Paperback,4.0,12.91,9780670922857,Business-Finance-Law,dataset/Business-Finance-Law/0000188.jpg
Crush It!,Gary Vaynerchuk,Paperback,4.0,10.01,9780062295026,Business-Finance-Law,dataset/Business-Finance-Law/0000189.jpg
Sweet Poison,David Gillespie,Paperback,4.0,8.82,9780718179076,Business-Finance-Law,dataset/Business-Finance-Law/0000190.jpg
Economics: The User's Guide,Ha-Joon Chang,Paperback,4.0,9.26,9780718197032,Business-Finance-Law,dataset/Business-Finance-Law/0000191.jpg
Scrum,Jeff Sutherland,Paperback,4.0,9.85,9781847941107,Business-Finance-Law,dataset/Business-Finance-Law/0000192.jpg
Kate,Kate Moss,Hardback,4.5,61.82,9780847837908,Business-Finance-Law,dataset/Business-Finance-Law/0000193.jpg
What the Dog Saw,Malcolm Gladwell,Paperback,4.0,8.54,9780316084659,Business-Finance-Law,dataset/Business-Finance-Law/0000194.jpg
"Leading Change, With a New Preface by the Author",John P. Kotter,Hardback,4.0,20.45,9781422186435,Business-Finance-Law,dataset/Business-Finance-Law/0000195.jpg
Society of the Spectacle,Guy Debord,Paperback,4.0,8.58,9780934868075,Business-Finance-Law,dataset/Business-Finance-Law/0000196.jpg
The Charisma Myth,Olivia Fox Cabane,Paperback,4.0,8.93,9780670922871,Business-Finance-Law,dataset/Business-Finance-Law/0000197.jpg
Profit First,Mike Michalowicz,Hardback,4.5,21.51,9780735214149,Business-Finance-Law,dataset/Business-Finance-Law/0000198.jpg
The Secret Barrister,The Secret Barrister,Hardback,4.0,14.8,9781509841103,Business-Finance-Law,dataset/Business-Finance-Law/0000199.jpg
Trump: The Art of the Deal,Donald Trump,Paperback,3.5,10.49,9781784758240,Business-Finance-Law,dataset/Business-Finance-Law/0000200.jpg
